422001027,TULSHI HOSPITAL,"N.D. PATEL ROAD, NERA TELEPHONE EXCHNAGE, NASHIK",Nasik,422,356
422001028,VASAN EYE CARE HOSPITAL,"BHABHA NAGAR, CORNER MUBAI NAKA, NASHIK, MAHARASTRA NASHIK, MAHARASTRA",Nasik,422,356
422001030,VIMAL MATERNITY AND GENERAL HOSP,DOCTOR HOUSE,Nasik,422,356
422001031,WOCKHARDT HOSPITALS,WADALA NAKA MUMBAI AGRA ROAD NASIK 422001 DIST NASIK MAHARASHTRA,Nasik,422,356
422002001,ANKUR FERTILITY & ENDOSCOPY CENTRE PVT.LTD,"OPP. VED MANDIR,OFF TRIMBAK ROAD,NASHIK",Nasik,422,356
422002002,AYUSH HOSPITAL,SPACE COSMOS NEAR CANARA BANK OLD AGRA ROAD ASHOKSTAMBH NASHIK,Nasik,422,356
422002003,BIRLA EYE HOSPITAL,"RIDDHI PARK, 2 ND FLOOR,NEAR RAJIV GANDHI BHAVAN",Nasik,422,356
422002005,CHIRANJEEV HOSPITAL,ASHIRWAD COMPLEX OPP ZILHA PARISHAD NEAR TRIMBAK NAKA NASIK-422001,Nasik,422,356
422002006,DEEPJYOTI HOSPITAL,CROWN COMPLEX OPP RAJIV GANDHI BHAVAN SHAHARAN PUR ROAD NASIK 422001 DIST NASIK MAHARASHTRA,Nasik,422,356
422002007,DEOGAONKAR HOSPITAL & HEART CARE CENTRE,"OLD PANDIT COLONY, GANGAPUR ROAD, NEAR K.T.H.M. COLLEGE,",Nasik,422,356
422002008,DR LADS NAVJEEVAN HOSPITAL PVT LTD,"S.NO-594/2, PLOT NO -2, HOLKAR ROAD, NEAR TUPSAKHRE LAWNS, TIDKE COLONY",Nasik,422,356
422002009,DR. SACHIN J SHAH,"JANKI SANKUL, OLD KALVAN ROAD, DINDORI, DINDORI, NASHIK, ",Nasik,422,356
422002010,DR. SURYAWANSHI EYE HOSPITAL,"NEAR HOTEL SANDEEP, MUMBAI NAKA,KUTE MARG,",Nasik,422,356
422002011,HEALING TOUCH ANGIOGRAPHY & CARDIAC SURGERY CENTRE PVT. LTD.,"URJA, NEXT TO CIRCLE CINEMA, GOLE COLONY, OLD AGRA ROAD",Nasik,422,356
422002012,JAI HOSPITAL PVT LTD,ROHIT APPARTMENT SHYAMLAL GUPTA MARG,Nasik,422,356
422002013,KASLIWAL HOSPITAL,ASHOK STAMBH,Nasik,422,356
422002014,KUTE EYE HOSPITAL,"S.N. KUTE MARG,TIDKE COLONY,.",Nasik,422,356
422002015,LELE HOSPITAL & RESEARCH CENTER PVT LTD,"KULKARNI COLONY, SHARANPUR ROAD, NEAR KULKARNI GARDEN. OPP. NELSON HOSPITAL",Nasik,422,356
422002016,MICKY MOUSE WILD CLINIC AND HOSPITAL,"LAXMIBAI DEORE BHUVAN,NEAR HRISHIKESH HRISHIKESH HOSPITAL MURKUTE COLONY, GANGAPUR ROAD, NASHIK",Nasik,422,356
422002017,NAVKAR EYE CLINIC,"SHOP NO1, RADHARAMAN SOCIETY,OFF SHARANPUR ROAD, OPP TELEPHONE EXCHANGE CANADA CORNER , NASHIK",Nasik,422,356
422002018,PRASANNA BALRUGNALAY & RESEARCH CENTRE,"3RD FLOOR, RAJVEE ENCLAVE,NEW PANDIT, COLONY, BESIDE OLD NMC, NASIK, MAHARASHTRA",Nasik,422,356
422002019,RAMALAYAM HOSPITAL,PANCHAVATI KARANJA PANCHAVATI KARANJA NASIK 422003 DIST NASIK MAHARASHTRA,Nasik,422,356
422002020,RUDRA HOSPITAL & CRITICAL CARE CENTRE,"GURU ASHISH COMPLEX, OPPO. BSNL,CANADA CORNER,SHARANPUR ROAD,",Nasik,422,356
422002021,"SAI HOSPITAL ( SAPHALYA PVT. LTD.,)","CROWN COMPLEX, OPP. RAJIV GANDHI BHAVAN,3RD FLOOR,SHARANPUR ROAD.",Nasik,422,356
422002022,SHINGE MULTISPECIALITY HOSPITAL,"OPP. RACHANA VIDYALALYA,KILKARNI COLONY,SHARANPUR ROAD.",Nasik,422,356
422002023,SHIVAM EYE HOSPITAL,"DEORE BHAVAN, NEAR RISHIKESH HOSPITAL GANGAPUR ROAD",Nasik,422,356
422002024,SHREE SAIBABA HEART INSITITUE & RESEARCH CENTER PVT. LTD.,"NEAR KALIDAR KALA MANDIR,,SHALIMAR.",Nasik,422,356
422002025,SHRI SAMARTH SUPER SPECIALITY HOSPITAL (RISHIKESH MEDICAL FOUNDATION AND RESEARCH CENTRE) - NASIK,"9, MURKUTE COLONY, GANGAPUR ROAD, NASIK",Nasik,422,356
422002027,SITA NURSING HOME,"NEAR SAITECH COMPUTER ACADEMY, GHARPURE GHAT LANE, ASHOK STAMBH, NASHIK ",Nasik,422,356
